2026-05-30 14:08:44 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 14:08:44 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:08:44 | INFO     | codecompanion.http | → GET /api/me [f8ba7338]
2026-05-30 14:08:44 | INFO     | codecompanion.http | → GET /api/grades [bb2e4888]
2026-05-30 14:08:44 | INFO     | codecompanion.http | ← GET /api/me 200 10.4ms [f8ba7338]
2026-05-30 14:08:44 | INFO     | codecompanion.http | ← GET /api/grades 200 35.4ms [bb2e4888]
2026-05-30 14:08:44 | INFO     | codecompanion.http | → GET /api/classes [7ad1da8c]
2026-05-30 14:08:44 | INFO     | codecompanion.http | → GET /api/users [a4c88313]
2026-05-30 14:08:44 | INFO     | codecompanion.http | → GET /api/questions [7857169b]
2026-05-30 14:08:44 | INFO     | codecompanion.http | → GET /api/grades [3e2adcd9]
2026-05-30 14:08:44 | INFO     | codecompanion.http | ← GET /api/classes 200 12.7ms [7ad1da8c]
2026-05-30 14:08:44 | INFO     | codecompanion.http | ← GET /api/users 200 14.5ms [a4c88313]
2026-05-30 14:08:44 | INFO     | codecompanion.http | ← GET /api/questions 200 31.0ms [7857169b]
2026-05-30 14:08:44 | INFO     | codecompanion.http | ← GET /api/grades 200 31.2ms [3e2adcd9]
2026-05-30 14:08:44 | INFO     | codecompanion.http | → GET /api/questions [f2d71033]
2026-05-30 14:08:44 | INFO     | codecompanion.http | ← GET /api/questions 200 3.2ms [f2d71033]
2026-05-30 14:08:47 | INFO     | codecompanion.http | → PUT /api/questions [fd8f9e29]
2026-05-30 14:08:47 | INFO     | codecompanion.http | ← PUT /api/questions 405 1.1ms [fd8f9e29]
2026-05-30 14:08:59 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 14:08:59 | INFO     | codecompanion.http | → GET /api/me [fd443490]
2026-05-30 14:08:59 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:08:59 | INFO     | codecompanion.http | ← GET /api/me 200 10.4ms [fd443490]
2026-05-30 14:08:59 | INFO     | codecompanion.http | → GET /api/questions [dc8393d8]
2026-05-30 14:08:59 | INFO     | codecompanion.http | → GET /api/grades [9a9bd540]
